구분,장번호,장명,절번호,절명,참조번호,조명,조,항,호,목,내용
조,1,총칙,,,제1조,목적,제1조,0,0,0,"이 규정은 「자본시장과 금융투자업에 관한 법률」(이하 “법”이라 한다) 제403조에 따라 시장감시, 이상거래의 심리, 회원에 대한 감리 및 연계감시와 그 결과에 따른 회원 및 그 임직원에 대한 징계, 불공정거래 예방 등을 위한 활동 등에 관하여 필요한 사항을 규정함을 목적으로 한다.<개정 2015. 7. 8.> [전문개정 2009. 1. 28.]"
항,1,총칙,,,제2조제①항,정의,제2조,①,0,0,① 이 규정에서 “이상거래”란 증권시장(다자간매매체결회사에서의 매매거래를 포함한다. 이하 같다) 또는 파생상품시장(이하 “시장”이라 한다)에서의 증권의 종목 또는 장내파생상품의 매매 품목(이하 “종목”이라 한다)의 가격이나 거래량에 뚜렷한 변동이 있는 거래 등 법 시행령 제355조의 이상거래를 말한다.<개정 2025. 2. 5.>
항,1,총칙,,,제2조제②항,정의,제2조,②,0,0,② 이 규정에서 “시장감시”란 시장에서의 증권 또는 장내파생상품의 매매(이하 “거래”라 한다)나 그 주문·호가의 상황 또는 이와 관련된 제보·공시·풍문·보도 등(이하 “풍문등”이라 한다)을 감시 및 분석하는 것을 말한다.
항,1,총칙,,,제2조제③항,정의,제2조,③,0,0,③ 이 규정에서 “심리”란 이상거래의 혐의가 있다고 인정되는 종목(이하 “이상거래혐의종목”이라 한다)의 거래나 그 주문 또는 호가 등이 법 제147조·제172조부터 제174조까지·제176조·제178조·제178조의2 및 제180조를 위반하는 등 불공정거래 행위에 해당하는지 여부를 확인하는 것을 말한다.
항,1,총칙,,,제2조제④항,정의,제2조,④,0,0,"④ 이 규정에서 “감리”란 회원(거래참가자를 포함한다. 이하 같다)이 한국거래소(이하 “거래소”라 한다)의 업무관련규정(거래참가자의 경우에는 이 규정 및 해당 다자간매매체결회사의 업무기준을 말한다. 이하 “업무관련규정”이라 한다)을 준수하는지 또는 법 제178조의2를 위반하는지를 확인하기 위하여 그와 관련된 회원의 업무·재산상황·장부·서류, 그 밖의 물건을 조사하는 것을 말한다.<개정 2015. 7. 8.,2025. 2. 5.>"
항,1,총칙,,,제2조제⑤항,정의,제2조,⑤,0,0,"⑤ 이 규정에서 “연계감시”란 연계거래와 관련한 시장감시, 심리 및 감리를 말한다."
항,1,총칙,,,제2조제⑥항,정의,제2조,⑥,0,0,⑥ 삭제<2025. 2. 5.>
항,1,총칙,,,제2조제⑦항,정의,제2조,⑦,0,0,⑦ 이 규정에서 “선물거래”란 「파생상품시장 업무규정」에서 정하는 기준과 방법에 따라 파생상품시장에서 이루어지는 법 제5조제1항제1호에 해당하는 파생상품의 거래를 말한다.
항,1,총칙,,,제2조제⑧항,정의,제2조,⑧,0,0,⑧ 이 규정에서 “옵션거래”란 「파생상품시장 업무규정」에서 정하는 기준과 방법에 따라 파생상품시장에서 이루어지는 법 제5조제1항제2호에 해당하는 파생상품의 거래를 말한다.
항,1,총칙,,,제2조제⑨항,정의,제2조,⑨,0,0,"⑨ 이 규정에서 “연계거래”란 시장에서 또는 시장과 다른 거래소시장 사이에서 가격 연동성이 있는 2개 이상으로서 증권의 종목 간, 장내파생상품의 종목 간 또는 증권의 종목과 장내파생상품의 종목간을 연계하는 거래를 말한다.<개정 2025. 2. 5.>"
항,1,총칙,,,제2조제⑩항,정의,제2조,⑩,0,0,"⑩ 이 규정에서 “시장감시요원”이란 시장감시, 심리, 감리, 연계감시 또는 불공정거래의 예방활동을 수행하는 거래소의 직원을 말한다."
항,1,총칙,,,제2조제⑪항,정의,제2조,⑪,0,0,⑪ 그 밖에 이 규정에서 사용하는 용어의 정의는 법 및 거래소의 업무관련규정에서 정하는 바에 따른다. [전문개정 2009. 1. 28.]
조,2,시장의 건전성 유지,1,공정거래질서 유지의무,제3조,회원의 금지행위,제3조,0,0,0,"회원 또는 그 임원·직원은 다음 각 호의 어느 하나에 해당하는 행위를 하여서는 아니된다.<개정 2006. 11. 24., 2009. 1. 28.>"
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제3조제1호,회원의 금지행위,제3조,0,1,0,위탁자의 주문정보를 이용하거나 당해 주문을 처리하기에 앞서 호가(주문을 포함한다. 이하 같다)하는 등 자기 또는 제3자의 이익을 위하여 거래를 하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제3조제2호,회원의 금지행위,제3조,0,2,0,시장에서의 거래와 관련하여 정당한 사유없이 위탁자의 손실 또는 수수료를 보전하거나 손익을 이전시켜 주는 등 위탁자에게 직접 또는 간접으로 재산상의 이익을 제공하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제3조제3호,회원의 금지행위,제3조,0,3,0,"특정 종목의 매수(매도)를 명시적 또는 묵시적으로 추천한 후 당해 종목을 매도(매수)하거나, 특정 종목을 매수(매도)한 후 당해 종목을 매수(매도) 종목으로 명시적 또는 묵시적으로 추천하여 이익을 얻거나 손실을 회피하는 행위"
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제3조제4호,회원의 금지행위,제3조,0,4,0,"투자수익률게임 등에서 관리종목, 투자주의종목, 투자경고종목, 투자위험종목 또는 발행·유통주식수가 적은 종목 등을 대상으로 과도한 투기적 거래를 유발하게 하는 행위"
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제3조제5호,회원의 금지행위,제3조,0,5,0,위탁자로부터 거래에 관한 위탁을 받지 아니하고 위탁자의 재산으로 거래를 하거나 그 거래에 대하여 추인을 요구하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제3조제6호,회원의 금지행위,제3조,0,6,0,증권의 가치에 중대한 영향을 미치는 사정을 미리 알고 있으면서 이를 알리지 아니하고 위탁자에게 해당 증권의 매수를 권유한 후 자기 또는 제3자가 보유한 증권을 매도하거나 위탁자에게 해당 증권의 매도를 권유한 후 자기가 매수하거나 제3자에게 매수하도록 하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제3조제7호,회원의 금지행위,제3조,0,7,0,자기 또는 제3자의 이익을 도모할 목적으로 업무상 알게 된 정보를 거래에 이용하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제3조제8호,회원의 금지행위,제3조,0,8,0,연계거래와 관련된 제1호·제3호 및 제6호의 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제3조제9호,회원의 금지행위,제3조,0,9,0,그 밖에 투자자보호나 시장의 건전성에 반하는 행위
항,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제①항,공정거래질서 저해행위의 금지,제4조,①,0,0,"① 회원 또는 그 임원·직원은 다음 각 호의 어느 하나에 해당하는 행위를 하여서는 아니된다.<개정 2006. 11. 24., 2009. 1. 28.>"
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제1호,공정거래질서 저해행위의 금지,제4조,①,1,0,시가·최고가·최저가 또는 종가 등 특정 시세의 형성에 관여하는 호가를 계속적으로 또는 순차적으로 제출하여 시세의 상승·하락 또는 고정·안정을 초래하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제2호,공정거래질서 저해행위의 금지,제4조,①,2,0,신규상장종목의 최초의 가격결정 등 단일가매매방법을 통한 가격결정에 집중적으로 관여하는 호가를 제출하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제3호,공정거래질서 저해행위의 금지,제4조,①,3,0,시세를 상승·하락 또는 고정·안정시킨 후 대량으로 거래를 하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제4호,공정거래질서 저해행위의 금지,제4조,①,4,0,특정 종목의 시장수급상황에 비추어 과도하게 거래하여 시세 등에 부당한 영향을 주거나 오해를 유발하게 할 우려가 있는 호가를 제출하거나 거래를 하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제5호,공정거래질서 저해행위의 금지,제4조,①,5,0,거래 성립 가능성이 희박한 호가를 대량으로 제출하거나 직전가격 또는 최우선호가의 가격이나 이와 유사한 가격으로 호가를 제출한 후 당해 호가를 반복적으로 정정·취소하여 시세 등에 부당한 영향을 미치거나 미칠 우려가 있는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제6호,공정거래질서 저해행위의 금지,제4조,①,6,0,동일 가격의 호가를 일정 시간에 분할하여 제출함으로써 수량배분 또는 시세 등에 부당한 영향을 미치거나 미칠 우려가 있는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제7호,공정거래질서 저해행위의 금지,제4조,①,7,0,"장종료시의 가격을 당일의 최고가, 최저가 또는 이에 근접한 가격으로 형성시키기 위하여 호가를 제출하는 행위"
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제8호,공정거래질서 저해행위의 금지,제4조,①,8,0,"당일중 또는 일정기간동안 계속하여 높은 가격으로 매수한 후 낮은 가격으로 매도하는 행위, 낮은 가격으로 매도한 후 높은 가격으로 매수하는 행위 또는 동일 가격으로 거래를 반복하는 행위"
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제9호,공정거래질서 저해행위의 금지,제4조,①,9,0,취득 또는 처분의 의사 없이 통정하여 거래를 하거나 권리의 이전을 목적으로 하지 아니하는 가장된 거래를 하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제10호,공정거래질서 저해행위의 금지,제4조,①,10,0,특정 종목의 시세등을 변동시키기 위하여 당해 종목에 관한 풍문등을 유포하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제11호,공정거래질서 저해행위의 금지,제4조,①,11,0,예상체결가격 또는 예상체결수량의 형성에 관여하는 호가를 제출하여 시세 등에 부당한 영향을 미치거나 미칠 우려가 있는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제12호,공정거래질서 저해행위의 금지,제4조,①,12,0,그 밖에 시장의 공정거래질서를 저해하거나 공신력을 실추시키는 행위
항,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제②항,공정거래질서 저해행위의 금지,제4조,②,0,0,"② 회원 또는 그 임원·직원은 연계거래와 관련하여 다음 각 호의 어느 하나에 해당하는 행위를 하여서는 아니 된다.<개정 2006. 11. 24., 2009. 1. 28.>"
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제1호,공정거래질서 저해행위의 금지,제4조,②,1,0,증권 또는 장내파생상품의 종목 중 어느 일방의 종목을 보유하고 있는 자가 이익을 얻거나 손실을 회피할 목적으로 다른 종목에서 통정하여 거래를 하거나 가장된 거래를 하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제2호,공정거래질서 저해행위의 금지,제4조,②,2,0,증권 또는 장내파생상품의 종목 중 어느 일방의 종목을 보유하고 있는 자가 당해 종목의 거래상황에 관하여 타인을 유인하기 위하여 다른 종목을 거래하여 그 가격을 변동시키거나 그 다른 종목에 관한 풍문 등을 유포하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제3호,공정거래질서 저해행위의 금지,제4조,②,3,0,증권 또는 장내파생상품의 종목 중 어느 일방의 종목을 보유하고 있는 자가 자기 또는 제3자로 하여금 이익을 얻거나 손실을 회피할 목적으로 당해 종목과 다른 종목간의 가격 차이를 인위적으로 변동 또는 고정시키는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제4호,공정거래질서 저해행위의 금지,제4조,②,4,0,특정 증권의 종목을 투자유망종목으로 추천한 후 이익을 얻거나 손실을 회피할 목적으로 이를 이용하여 장내파생상품의 종목을 거래하거나 장내파생상품의 종목의 미결제약정을 보유한 후 이를 이용하여 당해 미결제약정에 이익을 얻거나 손실을 회피할 목적으로 관련 증권의 종목의 매도 또는 매수를 추천하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제5호,공정거래질서 저해행위의 금지,제4조,②,5,0,"증권 또는 장내파생상품의 종목의 가격을 변동 또는 고정시켜 선물거래의 결제, 옵션거래의 권리행사(최종거래일 이전에 미결제약정을 소멸시키는 매도 또는 매수를 포함한다) 또는 증권의 종목의 가격에 영향을 미치는 행위"
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제6호,공정거래질서 저해행위의 금지,제4조,②,6,0,증권 또는 장내파생상품의 종목의 가격을 변동 또는 고정시켜 옵션거래의 권리행사의 배정을 유리하게 하거나 방해하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제7호,공정거래질서 저해행위의 금지,제4조,②,7,0,증권 또는 장내파생상품의 종목의 가격을 변동 또는 고정시켜 선물거래 또는 옵션거래의 증거금(「파생상품시장 업무규정」에서 정하는 위탁증거금을 포함한다)이 유리하게 산출되도록 하는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제8호,공정거래질서 저해행위의 금지,제4조,②,8,0,장내파생상품의 종목 미결제약정을 대량으로 보유한 후 당해 미결제약정에서 이익을 얻거나 손실을 회피할 목적으로 증권의 종목에 대하여 매매체결 가능성이 희박한 호가를 대량으로 제출하거나 직전의 가격 또는 최우선호가의 가격이나 이와 유사한 가격으로 호가를 대량으로 제출하여 시세 등에 부당한 영향을 미치거나 미칠 우려가 있는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제9호,공정거래질서 저해행위의 금지,제4조,②,9,0,증권의 종목 예상체결가격 또는 예상체결수량의 형성에 관여하는 호가를 제출하여 선물거래 또는 옵션거래에서 부당한 이익을 얻는 행위
호,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제10호,공정거래질서 저해행위의 금지,제4조,②,10,0,제1호 내지 제9호외에 연계거래와 관련하여 시장의 공정거래를 저해하거나 공신력을 실추시키는 행위
항,2,시장의 건전성 유지,1,공정거래질서 유지의무,제4조제③항,공정거래질서 저해행위의 금지,제4조,③,0,0,③ 회원 또는 그 임원·직원은 제1항 각 호의 어느 하나 또는 제2항 각 호의 어느 하나에 해당하는 행위를 위탁자에게 권유하거나 그 거래의 위탁을 받아서는 아니된다.<개정 2009. 1. 28.>
항,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조제①항,위원회의 예방활동,제5조,①,0,0,"① 시장감시위원회(이하 “위원회”라 한다)는 공정거래질서의 유지 및 투자자 보호를 위하여 회원, 주권상장법인 또는 전문투자자 등에게 불공정거래의 예방활동을 할 수 있다.<개정 2009. 1. 28.>"
항,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조제②항,위원회의 예방활동,제5조,②,0,0,"② 위원회는 불공정거래의 예방을 위하여 필요하다고 인정하는 경우에는 관련 회원에게 서면(「정보통신망 이용촉진 및 정보보호 등에 관한 법률」에 따른 정보통신망을 이용한 전자문서를 포함한다. 이하 같다) 또는 전화 등에 의하여 예방조치를 요구(이하 “예방조치요구”라 한다)할 수 있다.<개정 2006. 11. 24., 2009. 1. 28.>"
항,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조제③항,위원회의 예방활동,제5조,③,0,0,③ 삭제<2012. 3. 7.>
항,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조제④항,위원회의 예방활동,제5조,④,0,0,"④ 위원회는 제1항 및 제2항에 따른 예방조치요구 등 불공정거래의 예방활동에 관하여 필요한 사항을 「시장감시규정 시행세칙」(이하 “세칙”이라 한다)으로 정한다.<개정 2006. 11. 24., 2007. 7. 20., 2009. 1. 28., 2012. 3. 7.>"
항,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조의2제①항,투자주의종목의 지정·공표 등,제5조의2,①,0,0,"① 위원회는 불공정거래의 예방과 투자자 보호를 위하여 주권, 그 밖에 세칙으로 정하는 증권으로서 다음 각 호의 어느 하나에 해당하는 종목을 투자주의종목으로 지정하여 공표할 수 있다."
호,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조의2제1호,투자주의종목의 지정·공표 등,제5조의2,①,1,0,소수지점거래집중종목
호,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조의2제2호,투자주의종목의 지정·공표 등,제5조의2,①,2,0,소수계좌거래집중종목
호,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조의2제3호,투자주의종목의 지정·공표 등,제5조의2,①,3,0,그 밖에 투자자의 주의환기가 필요한 종목으로서 세칙으로 정하는 종목
항,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조의2제②항,투자주의종목의 지정·공표 등,제5조의2,②,0,0,② 위원회는 제1항에 따른 투자주의종목의 지정·공표 등에 관하여 필요한 사항을 세칙으로 정한다 [본조신설 2012. 3. 7.]
항,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조의3제①항,투자경고종목 및 투자위험종목의 지정·공표 등,제5조의3,①,0,0,"① 위원회는 불공정거래의 예방과 투자자 보호를 위하여 주권, 그 밖에 세칙으로 정하는 증권의 가격(이하 이 조에서 “주가”라 한다)이 일정기간 급등하는 종목을 투자경고종목으로 지정하여 공표할 수 있다.<개정 2009. 1. 28.>"
항,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조의3제②항,투자경고종목 및 투자위험종목의 지정·공표 등,제5조의3,②,0,0,② 위원회는 투자경고종목으로 지정되거나 그 지정이 해제된 후에도 일정기간 이내에 주가가 급등하는 경우에는 해당 종목을 투자위험종목으로 지정하여 공표할 수 있다.
항,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조의3제③항,투자경고종목 및 투자위험종목의 지정·공표 등,제5조의3,③,0,0,③ 위원회는 다음 각 호의 어느 하나에 해당하는 경우에는 일정기간 해당 종목의 매매거래정지를 해당 시장에 요청할 수 있다.<개정 2012. 3. 7.>
호,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조의3제1호,투자경고종목 및 투자위험종목의 지정·공표 등,제5조의3,③,1,0,투자경고종목으로 지정된 후에도 주가가 급등하는 경우
호,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조의3제2호,투자경고종목 및 투자위험종목의 지정·공표 등,제5조의3,③,2,0,투자위험종목으로 지정된 경우
호,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조의3제3호,투자경고종목 및 투자위험종목의 지정·공표 등,제5조의3,③,3,0,투자위험종목으로 지정된 후에도 주가가 급등하는 경우
항,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조의3제④항,투자경고종목 및 투자위험종목의 지정·공표 등,제5조의3,④,0,0,④ 위원회는 제1항 내지 제3항의 규정에 불구하고 투자경고종목·투자위험종목의 지정이나 매매거래정지가 현저하게 부적절하다고 인정되는 경우에는 그 지정이나 매매거래정지의 요청을 하지 아니할 수 있다.
항,2,시장의 건전성 유지,2,불공정거래의 예방활동,제5조의3제⑤항,투자경고종목 및 투자위험종목의 지정·공표 등,제5조의3,⑤,0,0,⑤ 투자경고종목 및 투자위험종목의 지정·지정예고·지정예외·지정해제 및 매매거래정지 요청 등에 관하여 필요한 사항은 세칙으로 정한다. [본조신설 2007. 7. 20.]
